timestamp,cpus,mem,stress_cpus,stress_io,stress_vm,stress_vm_bytes,latency
5356.025378,4,16G,4,3,2,256M,13428
5356.590140,4,16G,4,3,2,256M,13613
5357.122540,4,16G,4,3,2,256M,14803
5357.725329,4,16G,4,3,2,256M,13984
5358.702889,4,16G,4,3,2,256M,13343
5359.375654,4,16G,4,3,2,256M,13848
5359.940828,4,16G,4,3,2,256M,138206
5360.580886,4,16G,4,3,2,256M,60727
5361.310623,4,16G,4,3,2,256M,13916
5361.845093,4,16G,4,3,2,256M,133446
5362.514934,4,16G,4,3,2,256M,13843
5363.087758,4,16G,4,3,2,256M,13047
5363.789662,4,16G,4,3,2,256M,125671
5364.273335,4,16G,4,3,2,256M,80117
5364.829019,4,16G,4,3,2,256M,13676
5365.545361,4,16G,4,3,2,256M,14195
5366.062427,4,16G,4,3,2,256M,13117
5366.916959,4,16G,4,3,2,256M,13546
5367.558021,4,16G,4,3,2,256M,491235
5368.576443,4,16G,4,3,2,256M,13521
5369.001627,4,16G,4,3,2,256M,13327
5369.977508,4,16G,4,3,2,256M,13025
5370.509912,4,16G,4,3,2,256M,13692
5371.195278,4,16G,4,3,2,256M,13653
5371.708863,4,16G,4,3,2,256M,13730
5372.406854,4,16G,4,3,2,256M,78155
5373.293075,4,16G,4,3,2,256M,13247
5373.836072,4,16G,4,3,2,256M,13892
5374.557527,4,16G,4,3,2,256M,62655
5375.201569,4,16G,4,3,2,256M,12992
5375.729637,4,16G,4,3,2,256M,493838
5376.313257,4,16G,4,3,2,256M,13327
5377.012101,4,16G,4,3,2,256M,15238
5377.674300,4,16G,4,3,2,256M,12983
5378.184252,4,16G,4,3,2,256M,14244
5378.888208,4,16G,4,3,2,256M,13230
5379.537561,4,16G,4,3,2,256M,15570
5380.137563,4,16G,4,3,2,256M,13576
5380.599973,4,16G,4,3,2,256M,408825
5381.358509,4,16G,4,3,2,256M,13660
5382.145970,4,16G,4,3,2,256M,13696
5382.677024,4,16G,4,3,2,256M,13610
5383.561123,4,16G,4,3,2,256M,13284
5384.412033,4,16G,4,3,2,256M,14262
5384.895217,4,16G,4,3,2,256M,12790
5385.445776,4,16G,4,3,2,256M,131601
5385.975045,4,16G,4,3,2,256M,13775
5386.558972,4,16G,4,3,2,256M,13552
5387.292207,4,16G,4,3,2,256M,14570
5387.934011,4,16G,4,3,2,256M,14152
5388.590612,4,16G,4,3,2,256M,13220
5389.458557,4,16G,4,3,2,256M,13364
5389.964369,4,16G,4,3,2,256M,13506
5390.681412,4,16G,4,3,2,256M,248256
5391.283320,4,16G,4,3,2,256M,25098
5391.766989,4,16G,4,3,2,256M,13303
5392.536251,4,16G,4,3,2,256M,12848
5393.373866,4,16G,4,3,2,256M,131235
5394.044359,4,16G,4,3,2,256M,13266
5394.764239,4,16G,4,3,2,256M,13298
5395.501027,4,16G,4,3,2,256M,15083
5396.229389,4,16G,4,3,2,256M,13873
5396.789644,4,16G,4,3,2,256M,238774
5397.360878,4,16G,4,3,2,256M,14059
5397.966275,4,16G,4,3,2,256M,13477
5398.677015,4,16G,4,3,2,256M,12860
5399.245692,4,16G,4,3,2,256M,31402
5399.894123,4,16G,4,3,2,256M,137858
5400.634876,4,16G,4,3,2,256M,13761
5401.279367,4,16G,4,3,2,256M,13255
5401.889966,4,16G,4,3,2,256M,43041
5402.486617,4,16G,4,3,2,256M,12865
5403.243096,4,16G,4,3,2,256M,13339
5403.921599,4,16G,4,3,2,256M,13115
5404.598773,4,16G,4,3,2,256M,14788
5405.194508,4,16G,4,3,2,256M,12855
5405.883522,4,16G,4,3,2,256M,13455
5406.423912,4,16G,4,3,2,256M,13400
5407.073580,4,16G,4,3,2,256M,13840
5407.624419,4,16G,4,3,2,256M,131882
5408.488838,4,16G,4,3,2,256M,79543
5409.206126,4,16G,4,3,2,256M,52218
5409.893593,4,16G,4,3,2,256M,13251
5410.425778,4,16G,4,3,2,256M,233968
5410.966644,4,16G,4,3,2,256M,14301
5411.716580,4,16G,4,3,2,256M,130469
5412.354470,4,16G,4,3,2,256M,13242
5413.074429,4,16G,4,3,2,256M,13567
5413.651456,4,16G,4,3,2,256M,13841
5414.381732,4,16G,4,3,2,256M,13897
5414.906466,4,16G,4,3,2,256M,13393
5415.568021,4,16G,4,3,2,256M,13724
5416.184764,4,16G,4,3,2,256M,13855
5416.772792,4,16G,4,3,2,256M,14976
5417.608290,4,16G,4,3,2,256M,12922
5418.167126,4,16G,4,3,2,256M,13385
5418.752079,4,16G,4,3,2,256M,14375
5419.526133,4,16G,4,3,2,256M,14617
5420.081083,4,16G,4,3,2,256M,138014
5420.597043,4,16G,4,3,2,256M,13608
5421.321332,4,16G,4,3,2,256M,13431
5421.924792,4,16G,4,3,2,256M,13765
5422.482767,4,16G,4,3,2,256M,12925
5422.944484,4,16G,4,3,2,256M,12899
5423.432471,4,16G,4,3,2,256M,13787
5424.148237,4,16G,4,3,2,256M,13734
5424.714788,4,16G,4,3,2,256M,13404
5425.358691,4,16G,4,3,2,256M,94430
5425.958346,4,16G,4,3,2,256M,13697
5426.639792,4,16G,4,3,2,256M,13803
5427.166279,4,16G,4,3,2,256M,12339
5427.829630,4,16G,4,3,2,256M,12710
5428.503967,4,16G,4,3,2,256M,13609
5429.181350,4,16G,4,3,2,256M,13653
5429.797326,4,16G,4,3,2,256M,13574
5430.491539,4,16G,4,3,2,256M,13767
5431.089692,4,16G,4,3,2,256M,13251
5431.638613,4,16G,4,3,2,256M,13152
5432.196649,4,16G,4,3,2,256M,13654
5433.012822,4,16G,4,3,2,256M,13775
5433.672235,4,16G,4,3,2,256M,13322
5434.193370,4,16G,4,3,2,256M,13272
5434.735867,4,16G,4,3,2,256M,13305
5435.243978,4,16G,4,3,2,256M,13176
5435.885251,4,16G,4,3,2,256M,13842
5436.595118,4,16G,4,3,2,256M,150565
5437.221696,4,16G,4,3,2,256M,13920
5437.785810,4,16G,4,3,2,256M,13462
5438.246242,4,16G,4,3,2,256M,13274
5439.130534,4,16G,4,3,2,256M,12192
5439.837981,4,16G,4,3,2,256M,13646
5440.381091,4,16G,4,3,2,256M,12443
5440.897702,4,16G,4,3,2,256M,11673
5441.627951,4,16G,4,3,2,256M,12589
5442.340615,4,16G,4,3,2,256M,13360
5442.995841,4,16G,4,3,2,256M,12742
5443.621874,4,16G,4,3,2,256M,16532
5444.197691,4,16G,4,3,2,256M,14081
5444.793992,4,16G,4,3,2,256M,13989
5445.318881,4,16G,4,3,2,256M,14374
5446.037558,4,16G,4,3,2,256M,12762
5446.838915,4,16G,4,3,2,256M,13537
5447.429881,4,16G,4,3,2,256M,28824
5447.961441,4,16G,4,3,2,256M,15659
5448.686457,4,16G,4,3,2,256M,12654
5449.303020,4,16G,4,3,2,256M,13090
5449.850015,4,16G,4,3,2,256M,13030
5450.511076,4,16G,4,3,2,256M,13095
5451.214695,4,16G,4,3,2,256M,12181
5451.882770,4,16G,4,3,2,256M,13542
5452.468350,4,16G,4,3,2,256M,14170
5453.080672,4,16G,4,3,2,256M,13302
5453.794981,4,16G,4,3,2,256M,13159
5454.385385,4,16G,4,3,2,256M,243765
5455.038394,4,16G,4,3,2,256M,11934
5455.721987,4,16G,4,3,2,256M,404582
5456.325131,4,16G,4,3,2,256M,13573
5456.820898,4,16G,4,3,2,256M,13928
5457.502200,4,16G,4,3,2,256M,13398
5458.280847,4,16G,4,3,2,256M,56354
5458.894862,4,16G,4,3,2,256M,144705
5459.425084,4,16G,4,3,2,256M,12956
5460.105478,4,16G,4,3,2,256M,126372
5460.676605,4,16G,4,3,2,256M,14167
5461.256923,4,16G,4,3,2,256M,86839
5461.905429,4,16G,4,3,2,256M,14057
5462.573332,4,16G,4,3,2,256M,13972
5463.127822,4,16G,4,3,2,256M,13361
5463.660132,4,16G,4,3,2,256M,15849
5464.276901,4,16G,4,3,2,256M,13976
5465.072187,4,16G,4,3,2,256M,13487
5465.782311,4,16G,4,3,2,256M,17872
5466.434642,4,16G,4,3,2,256M,14485
5467.217337,4,16G,4,3,2,256M,13278
5467.862319,4,16G,4,3,2,256M,13151
5468.564040,4,16G,4,3,2,256M,147764
5469.248160,4,16G,4,3,2,256M,13275
5469.936006,4,16G,4,3,2,256M,28904
5470.709189,4,16G,4,3,2,256M,14882
5471.366969,4,16G,4,3,2,256M,13286
5472.001242,4,16G,4,3,2,256M,13757
5472.725012,4,16G,4,3,2,256M,75589
5473.413636,4,16G,4,3,2,256M,13347
5474.083723,4,16G,4,3,2,256M,14211
5474.589283,4,16G,4,3,2,256M,14717
5475.198828,4,16G,4,3,2,256M,125098
5475.882043,4,16G,4,3,2,256M,13064
5476.507571,4,16G,4,3,2,256M,13042
5477.080021,4,16G,4,3,2,256M,92225
5477.848767,4,16G,4,3,2,256M,13413
5478.461333,4,16G,4,3,2,256M,13608
5478.997351,4,16G,4,3,2,256M,280739
5479.545202,4,16G,4,3,2,256M,11944
5480.404587,4,16G,4,3,2,256M,13086
5481.031732,4,16G,4,3,2,256M,12204
5481.649639,4,16G,4,3,2,256M,11889
5482.439478,4,16G,4,3,2,256M,217281
5483.113104,4,16G,4,3,2,256M,13334
5483.713047,4,16G,4,3,2,256M,13050
5484.342124,4,16G,4,3,2,256M,13711
5485.033896,4,16G,4,3,2,256M,13611
5485.552818,4,16G,4,3,2,256M,14160
5486.169171,4,16G,4,3,2,256M,13407
5486.792303,4,16G,4,3,2,256M,13816
5487.494002,4,16G,4,3,2,256M,13129
5488.077922,4,16G,4,3,2,256M,12467
5488.730780,4,16G,4,3,2,256M,13688
5489.436387,4,16G,4,3,2,256M,13611
5490.020803,4,16G,4,3,2,256M,80216
5490.674530,4,16G,4,3,2,256M,13267
5491.409845,4,16G,4,3,2,256M,14211
5491.933615,4,16G,4,3,2,256M,14364
5492.594435,4,16G,4,3,2,256M,11853
5493.176513,4,16G,4,3,2,256M,12764
5493.872638,4,16G,4,3,2,256M,13171
5494.795643,4,16G,4,3,2,256M,13164
5495.357595,4,16G,4,3,2,256M,13028
5496.058038,4,16G,4,3,2,256M,12864
5496.664983,4,16G,4,3,2,256M,13681
5497.386345,4,16G,4,3,2,256M,13397
5497.937728,4,16G,4,3,2,256M,14982
5498.532219,4,16G,4,3,2,256M,43776
5499.238819,4,16G,4,3,2,256M,15205
5499.888766,4,16G,4,3,2,256M,13927
5500.500061,4,16G,4,3,2,256M,13582
5500.973040,4,16G,4,3,2,256M,13628
5501.832172,4,16G,4,3,2,256M,40219
5502.365387,4,16G,4,3,2,256M,13944
5502.919010,4,16G,4,3,2,256M,13646
5503.702509,4,16G,4,3,2,256M,13110
5504.552865,4,16G,4,3,2,256M,14373
5505.267397,4,16G,4,3,2,256M,13577
5505.832969,4,16G,4,3,2,256M,13957
5506.328834,4,16G,4,3,2,256M,13857
5506.856334,4,16G,4,3,2,256M,127986
5507.458706,4,16G,4,3,2,256M,13403
5508.112745,4,16G,4,3,2,256M,13053
5508.653151,4,16G,4,3,2,256M,14350
5509.204515,4,16G,4,3,2,256M,14483
5509.818856,4,16G,4,3,2,256M,13147
5510.458403,4,16G,4,3,2,256M,13216
5511.271798,4,16G,4,3,2,256M,13303
5512.017957,4,16G,4,3,2,256M,13662
5512.647178,4,16G,4,3,2,256M,13137
5513.240723,4,16G,4,3,2,256M,83665
5513.738192,4,16G,4,3,2,256M,12884
5958.946841,4,16G,4,3,2,256M,20891
5959.681648,4,16G,4,3,2,256M,13778
5960.283765,4,16G,4,3,2,256M,14117
5960.860122,4,16G,4,3,2,256M,13241
5961.311545,4,16G,4,3,2,256M,15275
5961.911856,4,16G,4,3,2,256M,13859
5962.621940,4,16G,4,3,2,256M,985813
5963.274577,4,16G,4,3,2,256M,13232
5963.830909,4,16G,4,3,2,256M,137802
5964.629317,4,16G,4,3,2,256M,14687
5965.189289,4,16G,4,3,2,256M,84099
5965.798362,4,16G,4,3,2,256M,13946
5966.401969,4,16G,4,3,2,256M,13479
5967.066474,4,16G,4,3,2,256M,14188
5967.621202,4,16G,4,3,2,256M,104649
5968.289347,4,16G,4,3,2,256M,14018
5968.822273,4,16G,4,3,2,256M,15093
5969.606515,4,16G,4,3,2,256M,13215
5970.140906,4,16G,4,3,2,256M,13847
5970.824696,4,16G,4,3,2,256M,13794
5971.424763,4,16G,4,3,2,256M,14337
5971.944652,4,16G,4,3,2,256M,14638
5972.566164,4,16G,4,3,2,256M,13523
5973.304751,4,16G,4,3,2,256M,86496
5973.926873,4,16G,4,3,2,256M,265784
5974.684997,4,16G,4,3,2,256M,13202
5975.301744,4,16G,4,3,2,256M,13125
5975.878564,4,16G,4,3,2,256M,13140
5976.586185,4,16G,4,3,2,256M,83322
5977.269457,4,16G,4,3,2,256M,13912
5978.050243,4,16G,4,3,2,256M,1335586
5978.779673,4,16G,4,3,2,256M,278803
5979.445266,4,16G,4,3,2,256M,13197
5980.173157,4,16G,4,3,2,256M,15149
5980.970053,4,16G,4,3,2,256M,13610
5981.506023,4,16G,4,3,2,256M,14268
5982.211691,4,16G,4,3,2,256M,13824
5982.936204,4,16G,4,3,2,256M,12610
5983.573305,4,16G,4,3,2,256M,263711
5984.074057,4,16G,4,3,2,256M,234266
5984.672015,4,16G,4,3,2,256M,13135
5985.303361,4,16G,4,3,2,256M,129158
5986.101099,4,16G,4,3,2,256M,12840
5986.862516,4,16G,4,3,2,256M,14323
5987.478136,4,16G,4,3,2,256M,15784
5988.255562,4,16G,4,3,2,256M,14470
5988.921228,4,16G,4,3,2,256M,14497
5989.541305,4,16G,4,3,2,256M,12691
5990.311130,4,16G,4,3,2,256M,13396
5990.846804,4,16G,4,3,2,256M,12712
5991.576879,4,16G,4,3,2,256M,136572
5992.095070,4,16G,4,3,2,256M,13770
5992.711677,4,16G,4,3,2,256M,13389
5993.417258,4,16G,4,3,2,256M,14859
5993.982987,4,16G,4,3,2,256M,14530
5994.591100,4,16G,4,3,2,256M,14083
5995.201544,4,16G,4,3,2,256M,20238
5995.728503,4,16G,4,3,2,256M,13709
